subject_code,subject_name,credits,outline_link,outline,level_id
AS5113,Triết học - Philosophy,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=125900&manganh=8420201,,CH
CH5661,Các phương pháp phân tích trong Công nghệ sinh học - Analytical Methods in Biotechnology,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=065380&manganh=8420201,,CH
CH5663,Cơ sở công nghiệp công nghệ sinh học - Industrial Principles of Biotechnology,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=065381&manganh=8420201,,CH
CH5665,Thiết kế thí nghiệm và xử lý số liệu trong sinh học - Experimental Design and Data Analysis for Biologists,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=065383&manganh=8420201,"{'knowledge': 'Người học sẽ nắm vững các kiến thức về bố trí thí nghiệm và phương pháp thống kê số liệu thu thập từ các kiểu thí nghiệm trong các lĩnh vực chuyên ngành. Bao gồm: ý nghĩa, tầm quan trọng và sự cần thiết của bố trí thí nghiệm; các khái niệm về thống kê sinh học, quần thể và mẫu, các tham số phân tán; các kỹ thuật trắc nghiệm Chi-square, phép thử t (t-test); kỹ thuật bố trí và phân tích thống kê các dạng thí nghiệm như CRD, RCBD, LSD, thí nghiệm thừa số, thí nghiệm lô phụ; cách chuyển đổi và xử lý số liệu mất; phân tích sự tương quan và hồi quy giữa các yếu tố. Kiến thức này giúp sinh viên có khả năng bố trí, thống kê và phân tích số liệu thí nghiệm cho luận văn hoặc đề tài nghiên cứu khoa học.', 'skills': 'Người học sẽ có khả năng áp dụng các cách bố trí và thống kê số liệu thuộc nhiều kiểu thí nghiệm khác nhau, bao gồm chuyển đổi và xử lý số liệu bị mất. Kỹ năng thực hành bao gồm thao tác thành thạo trên các chương trình thống kê số liệu như Excel và Statgraphics plus 3.0. Ngoài ra, người học còn phát triển kỹ năng phân tích số liệu thu thập được, lý giải kết quả nghiên cứu và ứng dụng kiến thức lý thuyết, thực hành vào các lĩnh vực cụ thể như Công nghệ Sinh học Thực phẩm, Nông nghiệp – Môi trường, Y-Dược. Khóa học cũng hỗ trợ khả năng tìm kiếm việc làm trong nghiên cứu và giảng dạy.', 'attitude': 'Người học sẽ phát triển tính tự chủ, đạo đức khoa học và ý thức trách nhiệm cao khi thực hiện các bước thu thập, xử lý và phân tích số liệu trong nghiên cứu khoa học.', 'textbooks': ['Nguyễn Văn Đức. Phương pháp kiểm tra thống kê sinh học. Nhà xuất bản Khoa học và Kỹ thuật, 2002.', 'Gomez, K.A and Gomez, A.A. Statistical procedures for agricultural research. An International Rice Research Institute Book, A Willey-interscience Publication, New York, 1984.'], 'brief_summary': 'Môn học ""Thiết kế thí nghiệm và xử lý số liệu trong Sinh học"" trang bị cho người học kiến thức và kỹ năng về bố trí, thống kê và phân tích số liệu thí nghiệm, đặc biệt trong ngành Công nghệ Sinh học. Khóa học tập trung vào việc sử dụng các phần mềm thống kê như Excel và Statgraphics, đồng thời giúp sinh viên có khả năng ứng dụng các phương pháp này vào các đề tài nghiên cứu khoa học cụ thể.'}",CH
CH5667,Tin sinh học - Bioinformatics,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=065386&manganh=8420201,,CH
CH5669,Kỹ thuật nuôi cấy tế bào thực vật để thu nhận các chất có hoạt tính sinh học - Plant Cell Culture for Bioactive Compounds,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=065388&manganh=8420201,"{'knowledge': 'Hiểu biết về dòng tế bào và cơ sở khoa học của kỹ thuật nuôi cấy tế bào thực vật. Nắm vững các kỹ thuật nuôi cấy tế bào thực vật, bao gồm nuôi cấy mô sẹo, dịch treo tế bào và rễ tơ. Hiểu rõ các phương pháp làm tăng khả năng sinh tổng hợp các chất có hoạt tính sinh học ở tế bào thực vật in vitro. Tiếp nhận các thông tin liên quan đến sự tổng hợp các chất có hoạt tính sinh học từ tế bào thực vật và phương thức thu nhận ở quy mô công nghiệp. Phân biệt hợp chất biến dưỡng sơ cấp và thứ cấp, vai trò và phân loại các chất có hoạt tính sinh học (hợp chất terpenoid, phenolic, chứa nitơ). Kiến thức về vật liệu, thành phần môi trường nuôi cấy và phương pháp chuẩn bị môi trường. Hiểu biết về Bioreactors, nguyên tắc hoạt động, phân loại và ứng dụng trong sản xuất công nghiệp.', 'skills': 'Nắm vững và thực hành được các kỹ thuật nuôi cấy tế bào thực vật. Áp dụng các phương pháp nhằm tăng khả năng sinh tổng hợp các chất có hoạt tính sinh học trong nuôi cấy in vitro. Khả năng tiếp nhận, tổng hợp và xử lý thông tin liên quan đến quá trình sinh tổng hợp các chất có hoạt tính sinh học từ tế bào thực vật và phương thức thu nhận ở quy mô lớn.', 'attitude': 'Không có thông tin', 'textbooks': ['Nguyễn Hoàng Lộc (2007). Giáo trình công nghệ tế bào. Nhà xuất bản Đại học Huế.', 'Dương Tấn Nhựt (2011). Công nghệ sinh học thực vật: nghiên cứu cơ bản và ứng dụng tập 1. Nhà xuất bản Nông nghiệp.', 'El-Mansi, E. M. T., C. F. A. Bryce, Arnold L. Demain, A.R. Allman (2012). Fermentation Microbiology and Biotechnology, 3rd ed. CRC Press.', 'Mohan Jain S. and Praveen K. Saxena (2009). Protocols for in vitro cultures and secondary metabolite analysis of aromatic and medicinal plants. Humana Press.'], 'brief_summary': 'Môn học giới thiệu các kỹ thuật nuôi cấy tế bào thực vật, cùng với những phương pháp làm tăng khả năng sinh tổng hợp các chất có hoạt tính sinh học. Khóa học hướng đến việc phát triển các kỹ thuật này ở quy mô công nghiệp để thu nhận các hợp chất có giá trị.'}",CH
CH5671,Sản xuất công nghiệp các chất có hoạt tính sinh học - Industrial Production of Bioactive Compounds,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=065389&manganh=8420201,,CH
CH5677,Thực tập Công nghệ sinh học 1 - Internship 1,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=065396&manganh=8420201,,CH
CH5679,Thực tập Công nghệ sinh học 2 - Internship 2,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=065397&manganh=8420201,"{'knowledge': 'Sinh viên sẽ được định hướng nghiên cứu trong một trong bốn lĩnh vực công nghệ sinh học (nông nghiệp, y dược, thực phẩm và môi trường), đồng thời nắm vững cách viết cơ sở lý thuyết cho luận văn tốt nghiệp.', 'skills': 'Sinh viên sẽ phát triển kỹ năng xây dựng kế hoạch thực hiện luận văn, tìm kiếm và xử lý tài liệu khoa học, thiết kế thí nghiệm, thu nhận và phân tích kết quả nghiên cứu. Ngoài ra, sinh viên còn được rèn luyện kỹ năng viết báo cáo khoa học và tự tin trình bày đề cương luận văn trước hội đồng.', 'attitude': 'Có sự tự tin trong việc trình bày đề cương luận văn trước hội đồng đánh giá.', 'textbooks': ['Các tài liệu liên quan đến lĩnh vực nghiên cứu mà sinh viên đã chọn'], 'brief_summary': 'Môn học Thực tập Công nghệ Sinh học 2 định hướng học viên chuẩn bị luận văn tốt nghiệp thông qua việc lựa chọn một trong các lĩnh vực công nghệ sinh học. Sinh viên sẽ được hướng dẫn các kỹ năng nghiên cứu từ tìm tài liệu, xử lý thông tin, thiết kế và thực hành thí nghiệm, đến phân tích kết quả và trình bày nghiên cứu.'}",CH
CH5719,Công nghệ lên men hiện đại - Modern Fermentation Technology,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=065315&manganh=8420201,,CH
