student_id,question_id,question_text,reference_answer,student_answer,section,topic,is_correct
STUDENT_053,sectionA_yearOfStudy,1. Current year of study,,Postgraduate,Section A,,
STUDENT_053,sectionA_gender,2. Gender,,Male,Section A,,
STUDENT_053,sectionA_studentStatus,3. Current status,,Full-time student,Section A,,
STUDENT_053,sectionA_selfLearningScale,4. Self-learning ability (1-5),,1,Section A,,
STUDENT_053,sectionA_topicFirst,5. First topic selected for assessment,,linear_regression,Section A,,
STUDENT_053,sectionA_topicSecond,6. Second topic selected for assessment,,deep_neural_networks,Section A,,
STUDENT_053,sectionA_studiedTopic1,7. Studied Topic 1 before?,,University course,Section A,,
STUDENT_053,sectionA_studiedTopic2,8. Studied Topic 2 before?,,University course,Section A,,
STUDENT_053,sectionA_familiarityTopic1Scale,9. Familiarity with Topic 1 (1-5),,3,Section A,,
STUDENT_053,sectionA_familiarityTopic2Scale,10. Familiarity with Topic 2 (1-5),,2,Section A,,
STUDENT_053,sectionA_usedGenAi,11. Used GenAI tools for learning?,,Yes,Section A,,
STUDENT_053,sectionA_aiLearningFrequency,12. Frequency of using AI for learning,,Daily,Section A,,
STUDENT_053,sectionA_aiToolPrimary,13. AI tool used most,,Other,Section A,,
STUDENT_053,sectionA_aiStudyPurpose,14. Primary purpose of using AI,,"Solving exercises, explanation, sources finding",Section A,,
STUDENT_053,sectionA_attendedAiTraining,15. Attended AI course or workshop?,,Yes,Section A,,
STUDENT_053,sectionB_linear_regression_q1,Primary goal of Simple Linear Regression?,B,B,Section B,Linear Regression,correct
STUDENT_053,sectionB_linear_regression_q2,"In Y = β0 + β1X + ε, β1 represents:",B,B,Section B,Linear Regression,correct
STUDENT_053,sectionB_linear_regression_q3,Meaning of R² = 0.85?,B,B,Section B,Linear Regression,correct
STUDENT_053,sectionB_linear_regression_q4,Difference between Simple and Multiple Linear Regression?,B,A,Section B,Linear Regression,incorrect
STUDENT_053,sectionB_linear_regression_q5,"Price = 50,000 + 100·SqFt. Predicted price for 2,000 SqFt?",A,B,Section B,Linear Regression,incorrect
STUDENT_053,sectionB_linear_regression_q6,Most common loss minimized for standard linear regression training?,C,B,Section B,Linear Regression,incorrect
