test,question_id,question_text,reference_answer,section,topic
pretest,sectionA_yearOfStudy,1. Current year of study,,Section A,
pretest,sectionA_gender,2. Gender,,Section A,
pretest,sectionA_studentStatus,3. Current status,,Section A,
pretest,sectionA_selfLearningScale,4. Self-learning ability (1-5),,Section A,
pretest,sectionA_topicFirst,5. First topic selected for assessment,,Section A,
pretest,sectionA_topicSecond,6. Second topic selected for assessment,,Section A,
pretest,sectionA_studiedTopic1,7. Studied Topic 1 before?,,Section A,
pretest,sectionA_studiedTopic2,8. Studied Topic 2 before?,,Section A,
pretest,sectionA_familiarityTopic1Scale,9. Familiarity with Topic 1 (1-5),,Section A,
pretest,sectionA_familiarityTopic2Scale,10. Familiarity with Topic 2 (1-5),,Section A,
pretest,sectionA_usedGenAi,11. Used GenAI tools for learning?,,Section A,
pretest,sectionA_aiLearningFrequency,12. Frequency of using AI for learning,,Section A,
pretest,sectionA_aiToolPrimary,13. AI tool used most,,Section A,
pretest,sectionA_aiStudyPurpose,14. Primary purpose of using AI,,Section A,
pretest,sectionA_attendedAiTraining,15. Attended AI course or workshop?,,Section A,
pretest,sectionB_linear_regression_q1,Primary goal of Simple Linear Regression?,B,Section B,Linear Regression
pretest,sectionB_linear_regression_q2,"In Y = β0 + β1X + ε, β1 represents:",B,Section B,Linear Regression
pretest,sectionB_linear_regression_q3,Meaning of R² = 0.85?,B,Section B,Linear Regression
pretest,sectionB_linear_regression_q4,Difference between Simple and Multiple Linear Regression?,B,Section B,Linear Regression
pretest,sectionB_linear_regression_q5,"Price = 50,000 + 100·SqFt. Predicted price for 2,000 SqFt?",A,Section B,Linear Regression
pretest,sectionB_linear_regression_q6,Most common loss minimized for standard linear regression training?,C,Section B,Linear Regression
pretest,sectionB_linear_regression_q7,Residuals vs fitted values show a parabolic pattern. What does it indicate?,B,Section B,Linear Regression
pretest,sectionB_linear_regression_q8,Why check multicollinearity in Multiple LR? Common measure?,B,Section B,Linear Regression
pretest,sectionB_linear_regression_q9,Trade-off: high-degree polynomial (perfect train fit) vs simple linear for future prediction—which generalizes better and why?,"The simple linear regression model is generally preferred for generalization. The high-degree polynomial model, while perfectly fitting the training data, is prone to overfitting, which leads to poor performance on new, unseen data.",Section B,Linear Regression
pretest,sectionB_linear_regression_q10,"Propose a feature transform (e.g., log) when X–Y is exponential; explain for linear regression.","Example Transformation: Transform x to logX (logarithmic transformation). This is necessary because Linear Regression assumes a linear relationship between X and Y. The log transformation effectively linearizes the initial exponential relationship, allowing the standard Linear Regression assumptions to be met.",Section B,Linear Regression
pretest,sectionB_deep_neural_networks_q1,What is a Deep Neural Network (DNN)?,B,Section B,Deep Neural Networks
pretest,sectionB_deep_neural_networks_q2,Role of an activation function?,B,Section B,Deep Neural Networks
pretest,sectionB_deep_neural_networks_q3,Why are multiple hidden layers useful?,B,Section B,Deep Neural Networks
pretest,sectionB_deep_neural_networks_q4,What is overfitting in DNNs?,A,Section B,Deep Neural Networks
pretest,sectionB_deep_neural_networks_q5,"High train accuracy, low validation accuracy. What to do?",B,Section B,Deep Neural Networks
pretest,sectionB_deep_neural_networks_q6,Network cannot learn complex patterns. Change that might help?,B,Section B,Deep Neural Networks
pretest,sectionB_deep_neural_networks_q7,Very deep network without normalization techniques?,A,Section B,Deep Neural Networks
pretest,sectionB_deep_neural_networks_q8,Why normalize inputs for DNN training?,B,Section B,Deep Neural Networks
pretest,sectionB_deep_neural_networks_q9,Model does poorly on both training and validation. What does it suggest?,Mentions underfitting / model too simple / insufficient capacity / poor training,Section B,Deep Neural Networks
pretest,sectionB_deep_neural_networks_q10,Propose one real-world DNN application and usefulness.,Provides valid application + correct explanation of DNN usage,Section B,Deep Neural Networks
pretest,sectionC_c1,I believe that AI can help me understand difficult concepts faster.,,Section C,
pretest,sectionC_c2,I think that using AI helps me save a significant amount of study time.,,Section C,
pretest,sectionC_c3,I find AI effective at summarizing lengthy or complex technical documents.,,Section C,
pretest,sectionC_c4,I believe mastering AI tools is a mandatory skill for my future tech career.,,Section C,
pretest,sectionC_c5,I am generally confident in the accuracy of technical explanations from AI.,,Section C,
pretest,sectionC_c6,I feel comfortable relying on algorithmic logic and code generated by AI.,,Section C,
pretest,sectionC_c7,I trust AI as a reliable resource when exploring new technical topics.,,Section C,
pretest,sectionC_c8,I feel confident using AI as a supportive tool for self-study.,,Section C,
pretest,sectionC_c9,I know how to craft effective prompts for high-quality AI responses.,,Section C,
pretest,sectionC_c10,I can refine my queries if the first AI response is unsatisfactory.,,Section C,
pretest,sectionC_c11,I feel comfortable using AI to troubleshoot or debug technical coursework.,,Section C,
pretest,sectionC_c12,I can identify when an AI-generated answer is unreliable or inconsistent.,,Section C,
pretest,sectionC_c13,Learners should verify AI answers against official textbooks or sources.,,Section C,
pretest,sectionC_c14,I am aware AI may sound convincing while being incorrect.,,Section C,
pretest,sectionC_c15,I am ready to use AI as learning support for the Intelligent Systems (IS) course.,,Section C,
pretest,sectionB_word_embedding_q1,What is a word embedding?,B,Section B,Word Embedding
pretest,sectionB_word_embedding_q2,Which model is commonly used to learn word embeddings?,B,Section B,Word Embedding
pretest,sectionB_word_embedding_q3,"If two words have similar embeddings, it means:",C,Section B,Word Embedding
pretest,sectionB_word_embedding_q4,Main difference: one-hot vs word embeddings?,C,Section B,Word Embedding
pretest,sectionB_word_embedding_q5,Find words with similar meanings. What to use?,B,Section B,Word Embedding
pretest,sectionB_word_embedding_q6,"In Word2Vec, goal of Skip-gram?",B,Section B,Word Embedding
pretest,sectionB_word_embedding_q7,Why do embeddings often beat one-hot in NLP?,A,Section B,Word Embedding
pretest,sectionB_word_embedding_q8,Same word multiple meanings (e.g. “bank”) causes:,B,Section B,Word Embedding
pretest,sectionB_word_embedding_q9,Embeddings give poor similarity. Possible reasons?,"Mentions at least one: poor training data, small corpus, bad hyperparameters, lack of preprocessing",Section B,Word Embedding
pretest,sectionB_word_embedding_q10,Propose one embedding application and how it improves performance.,"Provides valid application + correct explanation (e.g., search, recommendation, NLP tasks)",Section B,Word Embedding
pretest,sectionB_logistic_regression_q1,Primary difference: Linear vs Logistic Regression for Y?,A,Section B,Logistic Regression
pretest,sectionB_logistic_regression_q2,"Function mapping linear output to probability in [0,1]?",C,Section B,Logistic Regression
pretest,sectionB_logistic_regression_q3,Why Sigmoid instead of raw linear Y = β0 + β1X + ε in Logistic Regression?,B,Section B,Logistic Regression
pretest,sectionB_logistic_regression_q4,Formula for log-odds (logit) of success p?,A,Section B,Logistic Regression
pretest,sectionB_logistic_regression_q5,Logit = 0 for a customer. Probability p of positive class?,B,Section B,Logistic Regression
pretest,sectionB_logistic_regression_q6,Typical cost minimized when training Logistic Regression?,C,Section B,Logistic Regression
pretest,sectionB_logistic_regression_q7,Interpret coefficient β in Logistic Regression.,C,Section B,Logistic Regression
pretest,sectionB_logistic_regression_q8,Perfect linear separability: why can unregularized Logistic Regression have numerical issues?,B,Section B,Logistic Regression
pretest,sectionB_logistic_regression_q9,Machine failure prediction: prioritize Precision (few false alarms) or Recall (catch failures)? Why?,"Recall (minimizing False Negatives) should be prioritized. A False Negative (missing a machine failure) is usually more costly and dangerous than a False Positive (predicting failure when the machine is fine), as failure can lead to severe operational damage or accidents.",Section B,Logistic Regression
pretest,sectionB_logistic_regression_q10,Propose how to extend binary Logistic Regression to 3+ mutually exclusive classes.,"The problem requires Multinomial Logistic Regression (also known as Softmax Regression), which generalizes the sigmoid function to handle multiple classes simultaneously, or using the One-vs-Rest (OvR) approach, which trains separate binary Logistic Regression models for each class against all others.",Section B,Logistic Regression
pretest,sectionB_association_rules_mining_q1,Which metric measures how frequently an itemset appears in the entire dataset?,B,Section B,Association Rules Mining
pretest,sectionB_association_rules_mining_q2,The Apriori algorithm is primarily used for:,B,Section B,Association Rules Mining
pretest,sectionB_association_rules_mining_q3,What does the Apriori Principle state about itemsets?,A,Section B,Association Rules Mining
pretest,sectionB_association_rules_mining_q4,"If a rule {A} → {B} has a Lift > 1, it implies that:",B,Section B,Association Rules Mining
pretest,sectionB_association_rules_mining_q5,"In 200 transactions, ""Coke"" appears in 100, ""Chips"" in 80, both together in 40. Confidence of {Coke} → {Chips} is:",B,Section B,Association Rules Mining
pretest,sectionB_association_rules_mining_q6,"With the same data, Support for itemset {Coke, Chips} is:",A,Section B,Association Rules Mining
pretest,sectionB_association_rules_mining_q7,Why does FP-Growth typically perform faster than Apriori on large datasets?,A,Section B,Association Rules Mining
pretest,sectionB_association_rules_mining_q8,"If you increase the minimum confidence threshold, how does it affect discovered rules?",B,Section B,Association Rules Mining
pretest,sectionB_association_rules_mining_q9,A retail manager wants associations that are strong beyond both being popular. Which metric should they prioritize?,C,Section B,Association Rules Mining
pretest,sectionB_association_rules_mining_q10,"For pharmacy market-basket analysis, how would you modify traditional ARM to prioritize ""Critical Drug Interactions"" over ""Frequent Purchases""?",Assign risk-severity weights or specialized interest metrics to drug interactions so critical pairs are prioritized regardless of low purchase frequency (support).,Section B,Association Rules Mining
pretest,sectionB_recommender_system_q1,Which recommender suggests items similar to those a user liked based on item features?,B,Section B,Recommender System
pretest,sectionB_recommender_system_q2,Term for when the system cannot recommend to a new user due to lack of history?,C,Section B,Recommender System
pretest,sectionB_recommender_system_q3,How does User-User Collaborative Filtering differ from Item-Item Collaborative Filtering?,A,Section B,Recommender System
pretest,sectionB_recommender_system_q4,Why is Matrix Factorization used in Recommender Systems?,B,Section B,Recommender System
pretest,sectionB_recommender_system_q5,"User likes Inception (Sci-Fi, Nolan) and Interstellar (Sci-Fi, Nolan). A content-based system will most likely recommend:",B,Section B,Recommender System
pretest,sectionB_recommender_system_q6,Users A and B have high cosine similarity. A rates Movie X highly. What is likely predicted for B on X?,B,Section B,Recommender System
pretest,sectionB_recommender_system_q7,Millions of items but few ratings per user. The most significant challenge is:,B,Section B,Recommender System
pretest,sectionB_recommender_system_q8,"If the goal is that the Top-5 list contains only relevant items, which is more important: Precision or Recall?",A,Section B,Recommender System
pretest,sectionB_recommender_system_q9,Evaluate ethical implications of a filter bubble in news recommendations on information diversity.,"Filter bubbles isolate users in ideological echo chambers, severely reducing information diversity and reinforcing confirmation bias or societal polarization.",Section B,Recommender System
pretest,sectionB_recommender_system_q10,Propose a hybrid recommender architecture that combines CF and content-based filtering to mitigate cold start for new items.,"Use Content-Based filtering initially to generate recommendations using item metadata, then seamlessly integrate Collaborative Filtering as interaction data accumulates.",Section B,Recommender System
pretest,sectionB_fuzzy_logic_q1,Essential range for the degree of membership in a fuzzy set?,C,Section B,Fuzzy Logic
pretest,sectionB_fuzzy_logic_q2,Which FIS component turns fuzzy output into a single crisp value?,C,Section B,Fuzzy Logic
pretest,sectionB_fuzzy_logic_q3,"For standard fuzzy Max operator, membership of A ∪ B is:",B,Section B,Fuzzy Logic
pretest,sectionB_fuzzy_logic_q4,"Primary limitation of Boolean (crisp) logic for concepts like ""Hot"" or ""Fast""?",B,Section B,Fuzzy Logic
pretest,sectionB_fuzzy_logic_q5,IF Pressure High (μ=0.9) AND Temperature Low (μ=0.5) THEN Valve Closed. Min-AND firing strength is:,B,Section B,Fuzzy Logic
pretest,sectionB_fuzzy_logic_q6,"Trapezoid MF: 50 km/h → μ=1.0, 70 km/h → μ=0.5. Method used?",A,Section B,Fuzzy Logic
pretest,sectionB_fuzzy_logic_q7,Why is choice and shape of membership functions critical in fuzzy control?,A,Section B,Fuzzy Logic
pretest,sectionB_fuzzy_logic_q8,Fundamental difference between Mamdani and Sugeno FIS outputs?,A,Section B,Fuzzy Logic
pretest,sectionB_fuzzy_logic_q9,Compare sharp-threshold vs fuzzy control for chemical mixing: which yields smoother actions and why?,"The Fuzzy Logic system is likely to produce smoother and less abrupt control actions. This is because it uses continuous Membership Functions, allowing for gradual transitions in the control output as inputs change. The traditional system, with its fixed, sharp thresholds, would cause sudden, discontinuous changes when the input crosses a boundary.",Section B,Fuzzy Logic
pretest,sectionB_fuzzy_logic_q10,Propose one linguistic rule for a room thermostat using Room Temperature (Cold/Perfect/Hot) and Change Rate (Falling/Stable/Rising).,"Example Rule: IF Room Temperature IS Cold AND Temperature Change Rate IS Falling, THEN Heater Output IS Maximum (High).",Section B,Fuzzy Logic
pretest,sectionB_latent_dirichlet_allocation_q1,Primary purpose of Latent Dirichlet Allocation (LDA)?,B,Section B,Latent Dirichlet Allocation
pretest,sectionB_latent_dirichlet_allocation_q2,"In LDA, what is a “topic”?",A,Section B,Latent Dirichlet Allocation
pretest,sectionB_latent_dirichlet_allocation_q3,How does LDA represent a document?,B,Section B,Latent Dirichlet Allocation
pretest,sectionB_latent_dirichlet_allocation_q4,Why is LDA unsupervised?,C,Section B,Latent Dirichlet Allocation
pretest,sectionB_latent_dirichlet_allocation_q5,Apply LDA to news articles. Expected output?,B,Section B,Latent Dirichlet Allocation
pretest,sectionB_latent_dirichlet_allocation_q6,"Document: 70% Topic A, 30% Topic B. What does it imply?",B,Section B,Latent Dirichlet Allocation
pretest,sectionB_latent_dirichlet_allocation_q7,If number of topics K is too high?,A,Section B,Latent Dirichlet Allocation
pretest,sectionB_latent_dirichlet_allocation_q8,Why remove stopwords before LDA?,B,Section B,Latent Dirichlet Allocation
pretest,sectionB_latent_dirichlet_allocation_q9,"LDA topics have overlapping, unclear keywords. What might be wrong?","Mentions at least one valid reason: wrong K, poor preprocessing, bad parameters, or unsuitable data.",Section B,Latent Dirichlet Allocation
pretest,sectionB_latent_dirichlet_allocation_q10,Propose one real-world application of LDA and how it helps.,Provides one real-world application + brief correct explanation of how LDA is used.,Section B,Latent Dirichlet Allocation
posttest1,sectionA_yearOfStudy,1. Current year of study,,Section A,
posttest1,sectionA_gender,2. Gender,,Section A,
posttest1,sectionA_studentStatus,3. Current status,,Section A,
posttest1,sectionA_selfLearningScale,4. Self-learning ability (1-5),,Section A,
posttest1,sectionA_topicFirst,5. First topic selected for assessment,,Section A,
posttest1,sectionA_topicSecond,6. Second topic selected for assessment,,Section A,
posttest1,sectionA_studiedTopic1,7. Studied Topic 1 before?,,Section A,
posttest1,sectionA_studiedTopic2,8. Studied Topic 2 before?,,Section A,
posttest1,sectionA_familiarityTopic1Scale,9. Familiarity with Topic 1 (1-5),,Section A,
posttest1,sectionA_familiarityTopic2Scale,10. Familiarity with Topic 2 (1-5),,Section A,
posttest1,sectionA_usedGenAi,11. Used GenAI tools for learning?,,Section A,
posttest1,sectionA_aiLearningFrequency,12. Frequency of using AI for learning,,Section A,
posttest1,sectionA_aiToolPrimary,13. AI tool used most,,Section A,
posttest1,sectionA_aiStudyPurpose,14. Primary purpose of using AI,,Section A,
posttest1,sectionA_attendedAiTraining,15. Attended AI course or workshop?,,Section A,
posttest1,sectionB_fuzzy_logic_q1,"What is the term for a mathematical function used in Fuzzy Logic to define the degree of truth of a statement, mapping input values to the interval [0, 1]?",C,Section B,Fuzzy Logic
posttest1,sectionB_fuzzy_logic_q2,The Mamdani-type Fuzzy Inference System typically uses which operator for the implication step?,A,Section B,Fuzzy Logic
posttest1,sectionB_fuzzy_logic_q3,Why is the Center of Gravity (Centroid) method generally considered the most robust defuzzification technique?,B,Section B,Fuzzy Logic
posttest1,sectionB_fuzzy_logic_q4,Explain the consequence of using the Bounded Sum as the S-norm (OR operator) compared to the standard Max operator.,B,Section B,Fuzzy Logic
posttest1,sectionB_fuzzy_logic_q5,"If output sets are aggregated using Max, and Rule 1 firing strength is 0.7, Rule 2 is 0.9, what is the height of combined fuzzy set?",B,Section B,Fuzzy Logic
posttest1,sectionB_fuzzy_logic_q6,"Calculate the membership values for intersection A ∩ B using standard Min operator for sets A={(1,0.2), (2,0.8), (3,0.5)} and B={(1,0.6), (2,0.3), (3,0.9)}.",C,Section B,Fuzzy Logic
posttest1,sectionB_fuzzy_logic_q7,"If input variables and linguistic terms increase, what is the primary consequence concerning the rule base?",C,Section B,Fuzzy Logic
posttest1,sectionB_fuzzy_logic_q8,"Which system is generally faster for real-time control, Mamdani or Sugeno?",C,Section B,Fuzzy Logic
posttest1,sectionB_fuzzy_logic_q9,"Evaluate the trade-off when selecting a narrow versus a wide Membership Function for ""High"" temperature.","The Fuzzy Logic system is likely to produce smoother and less abrupt control actions. This is because it uses continuous Membership Functions, allowing for gradual transitions in the control output as inputs change. The traditional system, with its fixed, sharp thresholds, would cause sudden, discontinuous changes when the input crosses a boundary.",Section B,Fuzzy Logic
posttest1,sectionB_fuzzy_logic_q10,Design a fuzzy rule linking highly certain input state with moderately conservative output action.,"Example Rule: IF Room Temperature IS Cold AND Temperature Change Rate IS Falling, THEN Heater Output IS Maximum (High).",Section B,Fuzzy Logic
posttest1,sectionB_deep_neural_networks_q1,What defines a deep neural network?,B,Section B,Deep Neural Networks
posttest1,sectionB_deep_neural_networks_q2,Which activation function is widely used in modern DNNs?,B,Section B,Deep Neural Networks
posttest1,sectionB_deep_neural_networks_q3,Why are non-linear activation functions important?,B,Section B,Deep Neural Networks
posttest1,sectionB_deep_neural_networks_q4,What is the purpose of backpropagation?,B,Section B,Deep Neural Networks
posttest1,sectionB_deep_neural_networks_q5,What is computed before activation in a neuron?,C,Section B,Deep Neural Networks
posttest1,sectionB_deep_neural_networks_q6,What happens if learning rate is too high?,C,Section B,Deep Neural Networks
posttest1,sectionB_deep_neural_networks_q7,What is the vanishing gradient problem?,B,Section B,Deep Neural Networks
posttest1,sectionB_deep_neural_networks_q8,A DNN shows lower acceptance rates for a specific demographic. What is the likely issue?,C,Section B,Deep Neural Networks
posttest1,sectionB_deep_neural_networks_q9,A highly accurate DNN cannot explain its decisions. What is the main concern?,Mentions underfitting / model too simple / insufficient capacity / poor training,Section B,Deep Neural Networks
posttest1,sectionB_deep_neural_networks_q10,How would you improve fairness in a DNN used for loan approval?,Provides valid application + correct explanation of DNN usage,Section B,Deep Neural Networks
posttest1,sectionC_c1,AI tools help me clarify complex technical concepts more effectively.,,Section C,
